overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_0	ONWARD SAID A DISTANT VOICE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_47	BUT JOHN THERE'S NO SOCIETY JUST ELEMENTARY WORK
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_48	ITS CURTAINS WERE OF THICK AND FADED TAPESTRY
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_49	I HAVE GREAT THINGS TO TELL YOU SENOR SAID DONA ESTAFANIA TO HER HUSBAND THE CREAM AND SUBSTANCE OF WHICH IS THIS THE FAINTING GIRL BEFORE YOU IS YOUR DAUGHTER AND THAT BOY IS YOUR GRANDSON
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_50	MISS LAKE DECLINED THE CARRIAGE TO NIGHT
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_51	I WISH YOU WEREN'T SO RESTLESS AND DIDN'T GET SO WORKED UP OVER THINGS SHE SAID SADLY
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_52	ON SHE HURRIED UNTIL SWEEPING DOWN TO THE LAGOON AND THE ISLAND LO THE COTTON LAY BEFORE HER
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_53	SHE ASKED IMPULSIVELY I DIDN'T BELIEVE YOU COULD PERSUADE HER FATHER
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_54	HE KNEW THE SILVER FLEECE HIS AND ZORA'S MUST BE RUINED
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_55	ALEXANDRA LETS YOU SLEEP LATE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_56	WHAT YOU HAD BEST DO MY CHILD IS TO KEEP IT AND PRAY TO IT THAT SINCE IT WAS A WITNESS TO YOUR UNDOING IT WILL DEIGN TO VINDICATE YOUR CAUSE BY ITS RIGHTEOUS JUDGMENT
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_57	YES SOMETHING EVERYTHING SAID RACHEL HURRIEDLY LOOKING FROWNINGLY AT A FLOWER WHICH SHE WAS TWIRLING IN HER FINGERS
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_58	NO MORE THAN THE DANCING
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_59	BUT IN THIS VIGNETTE COPIED FROM TURNER YOU HAVE THE TWO PRINCIPLES BROUGHT OUT PERFECTLY
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_60	THE LAD HAD CHECKED HIM THEN
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_61	AND HENRY MIGHT RETURN TO ENGLAND AT ANY MOMENT
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_62	THERE'S ONE AND THERE'S ANOTHER THE DUDLEY AND THE FLINT
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_63	IT MAY BE THAT A GREAT COLORIST WILL USE HIS UTMOST FORCE OF COLOR AS A SINGER HIS FULL POWER OF VOICE BUT LOUD OR LOW THE VIRTUE IS IN BOTH CASES ALWAYS IN REFINEMENT NEVER IN LOUDNESS
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_64	HE WAS A SPLENDID FIGURE OF A BOY TALL AND STRAIGHT AS A YOUNG PINE TREE WITH A HANDSOME HEAD AND STORMY GRAY EYES DEEPLY SET UNDER A SERIOUS BROW
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_65	WHEN SHE CAME TO HER SENSES AND BLUSHING TO FIND HERSELF IN RODOLFO'S ARMS WOULD HAVE DISENGAGED HERSELF NO SENORA HE SAID THAT MUST NOT BE STRIVE NOT TO WITHDRAW FROM THE ARMS OF HIM WHO HOLDS YOU IN HIS SOUL
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_66	THE COLORIST SAYS FIRST OF ALL AS MY DELICIOUS PAROQUET WAS RUBY SO THIS NASTY VIPER SHALL BE BLACK AND THEN IS THE QUESTION CAN I ROUND HIM OFF EVEN THOUGH HE IS BLACK AND MAKE HIM SLIMY AND YET SPRINGY AND CLOSE DOWN CLOTTED LIKE A POOL OF BLACK BLOOD ON THE EARTH ALL THE SAME
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_67	WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_68	SUCH CONSUMPTION AS FALLS TO THE WOMEN IS MERELY INCIDENTAL TO THEIR WORK IT IS A MEANS TO THEIR CONTINUED LABOUR AND NOT A CONSUMPTION DIRECTED TO THEIR OWN COMFORT AND FULNESS OF LIFE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_69	THEN OF A SUDDEN AT MIDDAY THE SUN SHOT OUT HOT AND STILL NO BREATH OF AIR STIRRED THE SKY WAS LIKE BLUE STEEL THE EARTH STEAMED
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_70	THE KING WHO HAD FROM THIS MOMENT BECOME IN REALITY THE PRINCIPAL DANCER IN THE QUADRILLE CAST A LOOK UPON HIS VANQUISHED RIVAL
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_71	THE CUSTOM OF FESTIVE GATHERINGS PROBABLY ORIGINATED IN MOTIVES OF CONVIVIALITY AND RELIGION THESE MOTIVES ARE ALSO PRESENT IN THE LATER DEVELOPMENT BUT THEY DO NOT CONTINUE TO BE THE SOLE MOTIVES
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_72	THERE IS A MORE OR LESS ELABORATE SYSTEM OF RANK AND GRADES
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_73	THE BROWN GROUND BENEATH IS LEFT FOR THE MOST PART ONE TOUCH OF BLACK IS PUT FOR THE HOLLOW TWO DELICATE LINES OF DARK GRAY DEFINE THE OUTER CURVE AND ONE LITTLE QUIVERING TOUCH OF WHITE DRAWS THE INNER EDGE OF THE MANDIBLE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_74	THERE WAS A BRIGHT MOONLIGHT BROKEN BY THE SHADOWS OF OVERHANGING BOUGHS AND WITHERED LEAVES AND THE MOTTLED LIGHTS AND SHADOWS GLIDED ODDLY ACROSS HIS PALE FEATURES
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_75	IF BEAUTY OR COMFORT IS ACHIEVED AND IT IS A MORE OR LESS FORTUITOUS CIRCUMSTANCE IF THEY ARE THEY MUST BE ACHIEVED BY MEANS AND METHODS THAT COMMEND THEMSELVES TO THE GREAT ECONOMIC LAW OF WASTED EFFORT
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_76	YES SO THEY SAID BUT THAT WOULD I THINK HAVE BEEN WORSE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_77	THUS IN CHAUCER'S DREAM
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_78	THIS AT ONCE COMPELS YOU TO UNDERSTAND THAT THE WORK IS TO BE IMAGINATIVE AND DECORATIVE THAT IT REPRESENTS BEAUTIFUL THINGS IN THE CLEAREST WAY BUT NOT UNDER EXISTING CONDITIONS AND THAT IN FACT YOU ARE PRODUCING JEWELER'S WORK RATHER THAN PICTURES
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_0	THE DOCTOR WHO ATTENDED THE INJURED CREATURE IN THIS CASE WAS SIMPLY TOLD THAT SHE SLIPPED AND FELL DOWN STAIRS AS SHE WAS COMING DOWN
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_1	THEY WERE NOW PLAYING WITH THEIR DOLLS IN THE PARLOR
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_2	HE MADE A BOW SO DEEP THAT HIS BACK CAME NEAR BREAKING AND HE WAS DUMBFOUNDED I CAN TELL YOU WHEN HE SAW IT WAS NOBODY BUT ANDERS
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_3	WITHOUT GOING TO ANY SUCH EXTREME AS THIS WE CAN EASILY SEE ON REFLECTION HOW VAST AN INFLUENCE ON THE IDEAS AND CONCEPTIONS AS WELL AS ON THE PRINCIPLES OF ACTION IN MATURE YEARS MUST BE EXERTED BY THE NATURE AND CHARACTER OF THE IMAGES WHICH THE PERIOD OF INFANCY AND CHILDHOOD IMPRESSES UPON THE MIND
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_4	TO EMBARRASS THIS DAMAGING EXPOSURE JUDGE LECOMPTE ISSUED A WRIT AGAINST THE EX GOVERNOR ON A FRIVOLOUS CHARGE OF CONTEMPT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_5	IF WE HAD RETAINED THE SUBJECT OR ACT IN KNOWLEDGE THE WHOLE PROBLEM OF MEMORY WOULD HAVE BEEN COMPARATIVELY SIMPLE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_6	OTHER SUBTLETIES OCCUR INSIDE EACH EPISODE THE TEXTURES SPARKLING WITH WIT INFORMATION AND INSIGHT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_7	TO THEIR SORROW THEY WERE SOON UNDECEIVED
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_8	COMING BY WAY OF THE MISSOURI RIVER TOWNS HE FELL FIRST AMONG BORDER RUFFIAN COMPANIONSHIP AND INFLUENCES AND PERHAPS HAVING HIS INCLINATIONS ALREADY MOLDED BY HIS WASHINGTON INSTRUCTIONS HIS EARLY IMPRESSIONS WERE DECIDEDLY ADVERSE TO THE FREE STATE CAUSE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_9	THE WHOLE PROCEEDING WAS SO CHILDISH THE MISERABLE PLOT SO TRANSPARENT THE OUTRAGE SO GROSS AS TO BRING DISGUST TO THE BETTER CLASS OF BORDER RUFFIANS WHO WERE WITNESSES AND ACCESSORIES
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_10	I KNOW HE HAD IT THIS VERY EVENING
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_11	THEIR DISTINCTIVE CHARACTERS HOWEVER DISPLAY ONE BROAD AND UNFAILING DIFFERENCE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_12	YET LITTLE AS IT WAS IT HAD ALREADY MADE A VAST DIFFERENCE IN THE ASPECT OF THE ROOM
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_13	NO SOUND BROKE THE STILLNESS OF THE NIGHT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_14	SOME POINTS MAY BE TAKEN AS FIXED AND SUCH AS ANY THEORY OF MEMORY MUST ARRIVE AT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_15	HE CONTINUED HIS PRETENDED SEARCH AND TO GIVE COLOR TO HIS ERRAND MADE TWO ARRESTS
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_16	FOR LIKE AS NOT THEY MUST HAVE THOUGHT HIM A PRINCE WHEN THEY SAW HIS FINE CAP
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_17	WHAT'S THE MEANING OF THIS THOUGHT THE TREE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_18	THE FREE STATE HOTEL A STONE BUILDING IN DIMENSIONS FIFTY BY SEVENTY FEET THREE STORIES HIGH AND HANDSOMELY FURNISHED PREVIOUSLY OCCUPIED ONLY FOR LODGING ROOMS ON THAT DAY FOR THE FIRST TIME OPENED ITS TABLE ACCOMMODATIONS TO THE PUBLIC AND PROVIDED A FREE DINNER IN HONOR OF THE OCCASION
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_19	LIKE AS NOT YOUNG MASTER THOUGH I AM AN OLD MAN
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_20	THE PRINCESS CERTAINLY WAS BEAUTIFUL AND HE WOULD HAVE DEARLY LIKED TO BE KISSED BY HER BUT THE CAP WHICH HIS MOTHER HAD MADE HE WOULD NOT GIVE UP ON ANY CONDITION
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_21	FITZOOTH'S HAND RESTED AT LAST UPON THE TOP RUNG OF A LADDER AND SLOWLY THE TRUTH CAME TO HIM
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_22	DO YOU THINK SO SHE REPLIED WITH INDIFFERENCE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_23	YES SIRE AND READY DRESSED FOR THE BALLET
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_24	SQUEAK SQUEAK
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_25	OUT IN THE WOODS STOOD A NICE LITTLE FIR TREE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_26	THERE TOO WERE LARGE EASY CHAIRS SILKEN SOFAS LARGE TABLES FULL OF PICTURE BOOKS AND FULL OF TOYS WORTH HUNDREDS AND HUNDREDS OF CROWNS AT LEAST THE CHILDREN SAID SO
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_27	AND THEN THEY BECAME VEXED AND WOULD HAVE SNATCHED YOUR PURSE FROM US
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_28	IT IS BY NO MEANS ALWAYS RELIABLE ALMOST EVERYBODY HAS AT SOME TIME EXPERIENCED THE WELL KNOWN ILLUSION THAT ALL THAT IS HAPPENING NOW HAPPENED BEFORE AT SOME TIME
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_29	A TERRIBLE THOUGHT FLASHED INTO MY MIND
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_30	THE BEHAVIOURIST WHO ATTEMPTS TO MAKE PSYCHOLOGY A RECORD OF BEHAVIOUR HAS TO TRUST HIS MEMORY IN MAKING THE RECORD
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_31	ONWARD SAID A DISTANT VOICE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_32	GOOD GRACIOUS HAS THE KING ANY RIGHT TO INTERFERE IN MATTERS OF THAT KIND
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_33	I EXPECT YOU HAVE BEEN A VERY GOOD GIRL ANDELLA SINCE YOU WERE HERE LAST
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_34	BUT IT WAS NOT THE FIR TREE THAT THEY MEANT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_35	MONTFICHET CALLED OUT FOR ROBIN TO GIVE HIM AN ARM
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_36	IN AN IMAGE OF A WELL KNOWN FACE FOR EXAMPLE SOME PARTS MAY FEEL MORE FAMILIAR THAN OTHERS WHEN THIS HAPPENS WE HAVE MORE BELIEF IN THE ACCURACY OF THE FAMILIAR PARTS THAN IN THAT OF THE UNFAMILIAR PARTS
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_37	ANDERS FACE GREW RED
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_38	SAID SHE POINTING TO THE PLAYTHINGS SEE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_39	TIS FINE FOR YOU TO TALK OLD MAN ANSWERED THE LEAN SULLEN APPRENTICE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_40	IN THE LIGHT OF THE MOON I SAW A KNIFE RED WITH BLOOD AND MY HAND TOO WAS ALSO DISCOLOURED
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_41	ONE OF HIS MILITIA GENERALS SUGGESTED THAT THE GOVERNOR SHOULD REQUIRE THE OUTLAWS AT LAWRENCE AND ELSEWHERE TO SURRENDER THE SHARPS RIFLES ANOTHER WROTE ASKING HIM TO CALL OUT THE GOVERNMENT TROOPS AT FORT LEAVENWORTH
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_42	HE WAS IN DEEP CONVERSE WITH THE CLERK AND ENTERED THE HALL HOLDING HIM BY THE ARM
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_43	THAT IS COMPARATIVELY NOTHING
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_44	THE NEWS CIRCULATED WITH THE RAPIDITY OF LIGHTNING DURING ITS PROGRESS IT KINDLED EVERY VARIETY OF COQUETRY DESIRE AND WILD AMBITION
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_45	THERE IS NO LOGICAL IMPOSSIBILITY IN THE HYPOTHESIS THAT THE WORLD SPRANG INTO BEING FIVE MINUTES AGO EXACTLY AS IT THEN WAS WITH A POPULATION THAT REMEMBERED A WHOLLY UNREAL PAST
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_46	NO SAID THE TREE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_47	THEN TURNING TO JANE SHE ASKED IN A SOMEWHAT ALTERED TONE HAS SHE BEEN A GOOD GIRL JANE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_48	WE HAVE A COMMANDER WHO'S GAME FOR ANYTHING
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_49	FOR GENERAL SERVICE THEREFORE REQUIRING NO SPECIAL EFFORT THE NUMERICAL STRENGTH OF THE FACTIONS WAS ABOUT EQUAL WHILE ON EXTRAORDINARY OCCASIONS THE TWO THOUSAND BORDER RUFFIAN RESERVE LYING A LITTLE FARTHER BACK FROM THE STATE LINE COULD AT ANY TIME EASILY TURN THE SCALE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_50	WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_51	I THOUGHT WE WERE STUMPED AGAIN WHEN I FIRST SAW THAT PICTURE BUT IT'S BEEN OF SOME USE AFTER ALL
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_52	TO SAY NOTHING SAID MONTALAIS SO THAT WHEN MADEMOISELLE DE TONNAY CHARENTE THINKS ATHENAIS IS THE ONLY ONE WHO KNOWS IT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_53	HE HAS GIVEN THEM WITH TOO MUCH GRACE NOT TO HAVE OTHERS STILL TO GIVE IF THEY ARE REQUIRED WHICH IS THE CASE AT THE PRESENT MOMENT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_54	WHEN THE MUSIC BY ITS BURSTS OF MELODY CARRIED AWAY THESE ILLUSTRIOUS DANCERS WHEN THE SIMPLE UNTUTORED PANTOMIME OF THAT PERIOD ONLY THE MORE NATURAL ON ACCOUNT OF THE VERY INDIFFERENT ACTING OF THE AUGUST ACTORS HAD REACHED ITS CULMINATING POINT OF TRIUMPH THE THEATER SHOOK WITH TUMULTUOUS APPLAUSE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_55	HALF AN HOUR LATER TURNING A DEAF EAR TO ALL REMONSTRANCE HE GAVE THE PROPRIETORS UNTIL FIVE O'CLOCK TO REMOVE THEIR FAMILIES AND PERSONAL PROPERTY FROM THE FREE STATE HOTEL
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_56	IT WOULD SEEM THAT ONLY RATHER RECENT EVENTS CAN BE PLACED AT ALL ACCURATELY BY MEANS OF FEELINGS GIVING THEIR TEMPORAL RELATION TO THE PRESENT BUT IT IS CLEAR THAT SUCH FEELINGS MUST PLAY AN ESSENTIAL PART IN THE PROCESS OF DATING REMEMBERED EVENTS
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_57	IN WINTER WHEN THE SNOW LAY GLITTERING ON THE GROUND A HARE WOULD OFTEN COME LEAPING ALONG AND JUMP RIGHT OVER THE LITTLE TREE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_58	I HEARD A NOISE BEHIND I TURNED AND SAW KAFFAR HIS BLACK EYES SHINING WHILE IN HIS HAND HE HELD A GLEAMING KNIFE HE LIFTED IT ABOVE HIS HEAD AS IF TO STRIKE BUT I HAD THE STRENGTH OF TEN MEN AND I HURLED HIM FROM ME
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_59	NOT ONCE DID HE COMMENT ON THE LENGTH OR THE HARDSHIPS OF A JOURNEY
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_60	IT IS HARDLY NECESSARY TO SAY MORE OF THEM HERE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_61	THE PAIN PRODUCED BY AN ACT OF HASTY AND ANGRY VIOLENCE TO WHICH A FATHER SUBJECTS HIS SON MAY SOON PASS AWAY BUT THE MEMORY OF IT DOES NOT PASS AWAY WITH THE PAIN
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_62	SEMON'S TWO BOOKS MENTIONED IN AN EARLIER LECTURE DO NOT TOUCH KNOWLEDGE MEMORY AT ALL CLOSELY
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_63	THEY GIVE LAWS ACCORDING TO WHICH IMAGES OF PAST OCCURRENCES COME INTO OUR MINDS BUT DO NOT DISCUSS OUR BELIEF THAT THESE IMAGES REFER TO PAST OCCURRENCES WHICH IS WHAT CONSTITUTES KNOWLEDGE MEMORY
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_64	HE MAKES IT SORT OF COZIER
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_65	HIS RECEPTION SPEECH AT WESTPORT IN WHICH HE MAINTAINED THE LEGALITY OF THE LEGISLATURE AND HIS DETERMINATION TO ENFORCE THEIR LAWS DELIGHTED HIS PRO SLAVERY AUDITORS
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_66	THIS KNOWLEDGE IS MEMORY IN ONE SENSE THOUGH IN ANOTHER IT IS NOT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_67	YES THE CHARACTER WHICH YOUR ROYAL HIGHNESS ASSUMED IS IN PERFECT HARMONY WITH YOUR OWN
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_68	IT WAS IN FACT THE BEST WEAPON OF ITS DAY
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_69	I REMEMBER NOW AND I CONGRATULATE MYSELF DO YOU LOVE ANY ONE
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_70	THAT IS A VERY FINE CAP YOU HAVE HE SAID
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_71	SILENCE YOU KNAVE CRIED MONTFICHET
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_72	IT IS TOO DIFFICULT REPLIED MADEMOISELLE DE TONNAY CHARENTE LAUGHING LOUDLY
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_73	THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_74	THERE CANNOT BE A DOUBT HE RECEIVED YOU KINDLY FOR IN FACT YOU RETURNED WITHOUT HIS PERMISSION
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_75	SHE WAS A LARGE HOMELY WOMAN THEY WERE COMMON WHITE PEOPLE WITH NO REPUTATION IN THE COMMUNITY
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_76	I AM CONVINCED OF WHAT I SAY SAID THE COUNT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_77	I HAD SCARCELY KNOWN WHAT I HAD BEEN SAYING OR DOING UP TO THIS TIME BUT AS HE SPOKE I LOOKED AT MY HAND
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_78	WE SOMETIMES HAVE IMAGES THAT ARE BY NO MEANS PECULIARLY VAGUE WHICH YET WE DO NOT TRUST FOR EXAMPLE UNDER THE INFLUENCE OF FATIGUE WE MAY SEE A FRIEND'S FACE VIVIDLY AND CLEARLY BUT HORRIBLY DISTORTED
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_79	DO YOU SUPPOSE THE MINIATURE WAS A COPY OF THE SAME THING
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_80	HE DARTED LIKE AN ARROW THROUGH ALL THE HALLS DOWN ALL THE STAIRS AND ACROSS THE YARD
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_81	ATCHISON WHO HAD BEEN HARANGUING THE MOB PLANTED HIS TWO GUNS BEFORE THE BUILDING AND TRAINED THEM UPON IT
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_82	METER ROUGHLY ONE YARD THREE INCHES
overlap_ratio_0.0_sil0.1_0.5_session9_actual0.0_utterance_83	THEY SNUFFED ABOUT THE FIR TREE AND RUSTLED AMONG THE BRANCHES
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_0	THE SQUARES OF COTTON SHARP EDGED HEAVY WERE JUST ABOUT TO BURST TO BOLLS
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_1	A FEW YEARS BACK ONE OF THEIR SLAVES A COACHMAN WAS KEPT ON THE COACH BOX ONE COLD NIGHT WHEN THEY WERE OUT AT A BALL UNTIL HE BECAME ALMOST FROZEN TO DEATH IN FACT HE DID DIE IN THE INFIRMARY FROM THE EFFECTS OF THE FROST ABOUT ONE WEEK AFTERWARDS
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_2	THE LETTER RAN AS FOLLOWS
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_3	YOU MAY BE QUITE SURE IT'S THERE SAID CAPTAIN BATTLEAX AND THAT I CAN SO USE IT AS TO HALF OBLITERATE YOUR TOWN WITHIN TWO MINUTES OF MY RETURN ON BOARD
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_4	UNCAS WHO HAD ALREADY APPROACHED THE DOOR IN READINESS TO LEAD THE WAY NOW RECOILED AND PLACED HIMSELF ONCE MORE IN THE BOTTOM OF THE LODGE
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_5	NOW WHAT WAS THE SENSE OF IT TWO INNOCENT BABIES LIKE THAT
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_6	THE JOHN BRIGHT IS ARMED WITH A WEAPON OF GREAT POWER AGAINST WHICH IT IS IMPOSSIBLE THAT THE PEOPLE OF BRITANNULA SHOULD PREVAIL
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_7	THEN HE LOOKED DOWN THE LAGOON WAS DRY
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_8	BUT THE MORE FORGETFULNESS HAD THEN PREVAILED THE MORE POWERFUL WAS THE FORCE OF REMEMBRANCE WHEN SHE AWOKE
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_9	CRIED ALICE AGAIN FOR THIS TIME THE MOUSE WAS BRISTLING ALL OVER AND SHE FELT CERTAIN IT MUST BE REALLY OFFENDED
overlap_ratio_10.0_sil0.1_1.0_session0_actual10.1_utterance_10	SHE HAD ALMOST FORGOTTEN THAT IT WAS HERE WITHIN TOUCH AND SIGHT
